epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3983,2.29045,11.3596,2.99306,0.00834,0.69294,0.07547,0.04206,2.19523,11.1076,3.06002,0.00026664,0.00026664,0.00026664
2,16.9319,2.32996,10.6269,2.98527,0.00485,0.68089,0.07355,0.03896,2.8496,11.5556,3.82181,0.000537204,0.000537204,0.000537204
3,21.3931,2.50336,10.1627,3.07453,0.00297,0.71953,0.05634,0.03747,2.96969,10.7721,3.59165,0.000800436,0.000800436,0.000800436
4,25.8476,2.73014,10.192,3.26281,0.80933,0.04,0.04822,0.02987,2.97677,9.83492,3.70869,0.00105633,0.00105633,0.00105633
5,30.5817,2.70272,9.72495,3.17848,0.00379,0.67415,0.02943,0.00992,3.79048,12.3481,4.66253,0.00105234,0.00105234,0.00105234
6,35.4968,2.6415,9.73901,3.17851,0.41894,0.03636,0.04785,0.03004,3.79259,9.25934,4.30994,0.00103767,0.00103767,0.00103767
7,40.1425,2.6562,8.92143,3.17824,0.2741,0.07818,0.10618,0.06943,3.46023,8.48863,4.03616,0.00102301,0.00102301,0.00102301
8,45.1967,2.56307,8.66567,3.14376,0.37515,0.08895,0.09229,0.04984,3.88924,10.0717,4.2315,0.00100834,0.00100834,0.00100834
9,50.35,2.57438,8.16194,3.06602,0.22729,0.14895,0.10099,0.05183,3.88239,7.7134,4.35033,0.000993678,0.000993678,0.000993678
10,55.2451,2.64175,8.12565,3.03623,0.19566,0.22775,0.17834,0.08259,3.73909,7.50151,4.10795,0.000979013,0.000979013,0.000979013
11,60.3171,2.56184,7.63068,2.99104,0.15884,0.16326,0.12961,0.07795,3.36542,8.77495,3.97578,0.000964348,0.000964348,0.000964348
12,64.9974,2.57508,7.85947,3.01201,0.23634,0.21403,0.16452,0.10496,3.60065,10.6399,4.08528,0.000949683,0.000949683,0.000949683
13,69.8268,2.59093,7.34357,3.01872,0.22257,0.29935,0.25285,0.13352,3.18797,6.60106,3.89015,0.000935018,0.000935018,0.000935018
14,74.618,2.59664,7.30537,2.97092,0.2221,0.18326,0.22281,0.11843,3.00918,5.9208,3.7998,0.000920352,0.000920352,0.000920352
15,79.3823,2.49818,7.10641,3.00056,0.19171,0.20007,0.2158,0.11262,3.26931,5.57487,3.85926,0.000905687,0.000905687,0.000905687
16,84.3579,2.35587,6.72002,2.88405,0.30395,0.29826,0.27752,0.16772,3.30574,6.05288,4.04588,0.000891022,0.000891022,0.000891022
17,89.5765,2.42748,6.53079,2.87554,0.26499,0.28198,0.23533,0.13247,3.2671,5.87649,3.98706,0.000876357,0.000876357,0.000876357
18,94.6625,2.32539,6.07205,2.79645,0.23281,0.26841,0.23951,0.13845,3.20837,5.95374,4.06271,0.000861692,0.000861692,0.000861692
19,99.7296,2.40601,6.17092,2.88264,0.25612,0.26323,0.2121,0.13635,2.99347,5.83492,3.77684,0.000847026,0.000847026,0.000847026
20,104.843,2.44593,6.09978,2.89176,0.17625,0.2279,0.17755,0.08496,3.35337,5.47344,4.12528,0.000832361,0.000832361,0.000832361
21,109.594,2.31306,5.75545,2.73975,0.40379,0.22951,0.21101,0.12987,3.22309,5.276,3.79661,0.000817696,0.000817696,0.000817696
22,114.477,2.2984,5.73886,2.77677,0.20881,0.25737,0.21658,0.13448,3.34106,5.3859,3.93766,0.000803031,0.000803031,0.000803031
23,119.818,2.26647,5.46973,2.71171,0.2624,0.21549,0.24311,0.15375,3.01447,5.22228,3.72694,0.000788366,0.000788366,0.000788366
24,124.793,2.15901,5.21245,2.65595,0.43535,0.39975,0.35243,0.20923,3.0312,4.34062,3.62732,0.0007737,0.0007737,0.0007737
25,129.629,2.25552,5.12502,2.66332,0.37344,0.36428,0.38719,0.22786,3.21914,4.31465,3.6501,0.000759035,0.000759035,0.000759035
26,134.782,2.34157,5.41364,2.80313,0.33448,0.33699,0.37219,0.23263,3.18423,4.56112,3.81673,0.00074437,0.00074437,0.00074437
